"Farm","Paddock","Mow","Herbicide","Buttercuppc","BareGrnd"
"Farm I","Dry","No Mow","Nil",27.5,65
"Farm I","Dry","No Mow","Aminopyralid+triclopyr",0,90
"Farm I","Dry","No Mow","Flumetsulam",0,65
"Farm I","Dry","No Mow","Thifensulfuron-methyl",2.5,70
"Farm I","Dry","No Mow","Thifensulfuron-methyl",0.05,60
"Farm I","Dry","No Mow","Flumetsulam",0.005,65
"Farm I","Dry","No Mow","MCPB+bentazone",1.25,40
"Farm I","Dry","No Mow","MCPB",3,50
"Farm I","Dry","No Mow","Aminopyralid+triclopyr",0,90
"Farm I","Dry","No Mow","Nil",4,80
"Farm I","Dry","No Mow","MCPA",0,45
"Farm I","Dry","No Mow","MCPB",0,60
"Farm I","Dry","No Mow","Aminopyralid",0.05,90
"Farm I","Dry","No Mow","MCPB",1.25,45
"Farm I","Dry","No Mow","MCPA",0,55
"Farm I","Dry","No Mow","Aminopyralid+triclopyr",0,65
"Farm I","Dry","No Mow","Flumetsulam",0,55
"Farm I","Dry","No Mow","MCPB+bentazone",0,55
"Farm I","Wet","Mow","MCPB+bentazone",7.25,45
"Farm I","Wet","Mow","MCPA",1,90
"Farm I","Wet","Mow","Nil",65,15
"Farm I","Wet","Mow","MCPA",1.25,40
"Farm I","Wet","Mow","Aminopyralid",0.75,70
"Farm I","Wet","Mow","MCPB+bentazone",7.5,40
"Farm I","Wet","Mow","Flumetsulam",5,55
"Farm I","Wet","Mow","Aminopyralid+triclopyr",0.75,95
"Farm I","Wet","Mow","Nil",47.5,50
"Farm I","Wet","Mow","Aminopyralid",0.505,115
"Farm I","Wet","Mow","Thifensulfuron-methyl",8,50
"Farm I","Wet","Mow","Aminopyralid+triclopyr",0,115
"Farm I","Wet","Mow","MCPB",16,30
"Farm I","Wet","Mow","MCPA",1,80
"Farm I","Wet","Mow","MCPB",8,35
"Farm I","Wet","Mow","Nil",40,23
"Farm I","Wet","Mow","MCPB",16,50
"Farm I","Wet","Mow","Flumetsulam",1.25,45
"Farm I","Wet","Mow","Flumetsulam",3.75,50
"Farm I","Wet","Mow","Aminopyralid",0.125,55
"Farm I","Wet","Mow","MCPB+bentazone",3,45
"Farm I","Wet","Mow","Thifensulfuron-methyl",4.5,48
"Farm I","Wet","Mow","Aminopyralid+triclopyr",0.25,55
"Farm I","Wet","Mow","Thifensulfuron-methyl",1.5,40
